=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.05.12 16:11:47 =~=~=~=~=~=~=~=~=~=~=~=
70106,1.35,1.69,9.12,0.00,0.00,0.00,0.00,0.06,-0.06,0.00,8.56,10.50
70206,1.36,1.70,9.13,0.00,0.00,0.00,0.25,0.00,0.00,0.00,8.56,10.50
70306,1.36,1.69,9.12,0.00,0.00,0.00,0.06,0.06,-0.12,0.00,8.56,10.50
70406,1.36,1.67,9.16,0.00,0.00,0.00,0.12,-0.19,0.00,0.00,8.56,10.50
70507,1.35,1.67,9.12,0.00,0.00,0.00,-0.06,-0.12,0.00,0.00,8.56,10.50
70607,1.36,1.70,9.12,0.00,0.00,0.00,0.19,0.12,0.06,0.00,8.56,10.50
70707,1.36,1.69,9.15,0.00,0.00,0.00,-0.06,-0.19,0.06,0.00,8.56,10.50
70808,1.35,1.70,9.12,0.00,0.00,0.00,-0.19,0.12,0.06,0.00,8.56,10.50
70908,1.36,1.69,9.12,0.00,0.00,0.00,0.06,-0.06,0.06,0.00,8.56,10.50
71009,1.37,0.40,9.11,0.00,0.00,0.00,-0.12,-0.06,0.06,0.00,8.56,10.50
71109,1.36,1.68,9.14,0.00,0.00,0.00,0.06,-0.06,0.06,0.00,8.56,10.50
DHT22: T=21.0 C | RH=72.6%
71209,1.37,1.68,9.16,0.00,0.00,0.00,0.00,0.00,-0.12,0.00,8.56,10.50
71308,1.37,1.70,9.11,0.00,0.00,0.00,0.06,-0.06,0.06,0.00,8.56,10.50
71407,1.35,1.72,9.13,0.00,0.00,0.00,0.06,-0.06,0.06,0.00,8.56,10.50
71506,1.37,1.71,9.15,0.00,0.00,0.00,-0.06,0.00,0.06,0.00,8.56,10.50
71606,1.38,1.69,9.13,0.00,0.00,0.00,-0.06,0.06,0.00,0.00,8.56,10.50
71706,1.36,1.68,9.13,0.00,0.00,0.00,-0.06,0.00,0.06,0.00,8.56,10.50
71807,1.35,1.67,9.14,0.00,0.00,0.00,0.00,-0.12,0.00,0.00,8.56,10.50
71907,1.38,1.69,9.14,0.00,0.00,0.00,0.00,-0.25,0.12,0.00,8.56,10.50
72008,1.37,1.67,9.10,0.00,0.00,0.00,-0.06,-0.38,0.12,0.00,8.56,10.50
72108,1.40,1.67,9.07,0.00,0.00,0.00,0.06,-0.06,0.00,0.00,8.56,10.50
72208,1.38,1.72,9.11,0.00,0.00,0.00,0.06,-0.06,-0.12,0.00,8.56,10.50
72309,1.37,1.69,9.10,0.00,0.00,0.00,-0.06,-0.12,0.00,0.00,8.56,10.50
72409,1.39,1.67,9.11,0.00,0.00,0.00,-0.06,0.00,0.00,0.00,8.56,10.50
72508,1.39,1.68,9.09,0.00,0.00,0.00,0.19,-0.06,-0.12,0.00,8.56,10.50
72607,1.38,1.69,9.12,0.00,0.00,0.00,0.12,0.00,-0.06,0.00,8.56,10.50
72706,1.38,1.69,9.10,0.00,0.00,0.00,-0.12,0.00,-0.12,0.00,8.56,10.50
72806,1.39,1.69,9.08,0.00,0.00,0.00,0.06,-0.06,0.00,0.00,8.56,10.50
72906,1.37,1.69,9.15,0.00,0.00,0.00,0.06,-0.06,-0.06,0.00,8.56,10.50
73007,1.37,1.69,9.15,0.00,0.00,0.00,-0.06,0.06,-0.06,0.00,8.56,10.50
73107,1.36,1.70,9.13,0.00,0.00,0.00,0.00,-0.12,0.00,0.00,8.56,10.50
73207,1.38,1.70,9.13,0.00,0.00,0.00,-0.06,0.00,0.06,0.00,8.56,10.50
73308,1.37,1.69,9.10,0.00,0.00,0.00,-0.06,0.00,0.06,0.00,8.56,10.50
73408,1.38,1.69,9.12,0.00,0.00,0.00,-0.12,-0.06,-0.12,0.00,8.56,10.50
73509,1.37,1.68,9.14,0.00,0.00,0.00,0.12,0.25,-0.06,0.00,8.56,10.50
73609,1.37,1.69,7.85,0.00,0.00,0.00,0.06,0.12,0.00,0.00,8.56,10.50
DHT22: T=21.0 C | RH=72.6%
73709,1.37,1.71,9.11,0.00,0.00,0.00,0.12,0.00,-0.06,0.00,8.56,2.50
73808,1.36,1.69,9.13,0.00,0.00,0.00,0.00,0.00,0.12,0.00,8.56,10.50
73907,1.39,1.69,9.11,0.00,0.00,0.00,0.06,0.12,-0.06,0.00,8.56,2.50
74006,1.37,1.68,9.12,0.00,0.00,0.00,0.00,0.00,-0.06,0.00,8.56,10.50
74106,1.37,1.68,9.14,0.00,0.00,0.00,0.06,-0.06,0.12,0.00,8.56,10.50
74206,1.37,1.69,9.10,0.00,0.00,0.00,-0.06,0.19,0.00,0.00,8.56,10.50
74307,1.37,1.70,9.10,0.00,0.00,0.00,-0.06,0.00,0.00,0.00,8.56,10.50
74407,1.37,1.68,9.11,0.00,0.00,0.00,-0.06,-0.06,-0.12,0.00,8.56,10.50
74508,1.37,1.70,9.12,0.00,0.00,0.00,0.00,0.06,-0.06,0.00,8.56,10.50
74608,1.39,1.69,9.11,0.00,0.00,0.00,0.12,-0.12,-0.06,0.00,8.56,10.50
